Nome do Candidato;Temática;Proposta
Lourdes Francisco;Espaços Públicos;Manter praças e parques como propriedade do município
Lourdes Francisco;Legislação;Cancelar leis que retiram liberdade de expressão e direitos democráticos
Lourdes Francisco;Saúde;Estatizar completamente o sistema de saúde
Lourdes Francisco;Saúde;Realizar enorme investimento no SUS
Mauro Tramonte;Educação;Implantar programa de intercâmbio para alunos que se destacarem na escola
Mauro Tramonte;Educação;Criar programa para ajudar alunos da rede pública a se prepararem para o Enem
Mauro Tramonte;Educação;Implantar programa de saúde na escola, com foco em atendimento odontológico, oftalmológico e atenção psicossocial
Mauro Tramonte;Educação;Valorizar as parcerias com a rede de creches parceiras
Mauro Tramonte;Economia;Implantar a Lei de Liberdade Econômica em Belo Horizonte
Mauro Tramonte;Economia;Manter diálogo aberto e permanente com o setor empresarial
Mauro Tramonte;Infraestrutura;Implementar soluções técnicas, modernas e sustentáveis para problemas de enchentes
Mauro Tramonte;Gestão Pública;Aprimorar a transparência e o diálogo com a sociedade em todos os níveis
Mauro Tramonte;Habitação;Fortalecer a política habitacional para a população de baixa renda
Mauro Tramonte;Habitação;Promover programa de acessibilidade à regularização fundiária
Mauro Tramonte;Habitação;Criar programa de incentivo ao uso residencial e comercial do centro da cidade
Mauro Tramonte;Desenvolvimento Social;Promover ações e parcerias com o terceiro setor para inclusão de jovens no mercado de trabalho
Mauro Tramonte;Desenvolvimento Social;Modernizar e melhorar a estrutura dos conselhos tutelares
Mauro Tramonte;Desenvolvimento Social;Fortalecer e ampliar os programas de atendimento ao idoso
Mauro Tramonte;Cultura e Turismo;Criar o programa CIDADE VIVA, para funcionamento 24 horas da cadeia produtiva da cultura, turismo, gastronomia e lazer
Mauro Tramonte;Cultura e Turismo;Disponibilizar espaços públicos para viabilizar o trabalho dos fazedores de cultura
Mauro Tramonte;Segurança;Aumentar o efetivo da Guarda Municipal
Mauro Tramonte;Segurança;Intensificar o patrulhamento em parques, praças, unidades de saúde, escolas e comércio
Wanderson Rocha;Segurança;Democratizar a polícia, com delegados e chefes eleitos diretamente pela população
Wanderson Rocha;Segurança;Defender o direito à autodefesa dos trabalhadores nas periferias, quilombos, aldeias e comunidades rurais
Wanderson Rocha;Segurança;Contra o uso do reconhecimento facial para identificação de pessoas
Wanderson Rocha;Segurança;Contra a privatização do sistema penitenciário
Wanderson Rocha;Segurança;Desmilitarizar a Guarda Civil Municipal, limitando-a à segurança de órgãos públicos e do patrimônio municipal
Wanderson Rocha;Educação;Contra a municipalização das escolas
Wanderson Rocha;Educação;Contra o projeto SOMAR, que transfere a administração de escolas públicas para a administração privada
Wanderson Rocha;Combate às Opressões;Implementar políticas concretas para mudança na vida das mulheres trabalhadoras
Wanderson Rocha;Combate às Opressões;Combater o machismo, racismo, LGBTfobia e xenofobia
Wanderson Rocha;Meio Ambiente;Considerar as vulnerabilidades ambientais de Belo Horizonte diante das mudanças climáticas ao elaborar políticas públicas
Wanderson Rocha;Meio Ambiente;Contra o Rodoanel, buscando alternativas para resolução do transporte intermunicipal da região metropolitana
Wanderson Rocha;Meio Ambiente;Por um novo modelo de mineração, que não seja baseado na destruição do meio ambiente e da vida das pessoas
Wanderson Rocha;Meio Ambiente;Contra a mineração na Serra do Curral e do Gandarela
Wanderson Rocha;Meio Ambiente;Pela reestatização da Vale
Wanderson Rocha;Política;Defender um programa revolucionário e socialista
Wanderson Rocha;Política;Não aceitar dinheiro da burguesia nem fazer alianças com partidos dos patrões
Wanderson Rocha;Política;Defender a destruição do capitalismo e colocar a classe operária no poder
Rogério Correia;Gestão Democrática;Democratizar a gestão da cidade, incluindo a reestruturação e o fortalecimento das Administrações Regionais
Rogério Correia;Gestão Democrática;Restabelecer as instâncias de participação descontinuadas e o Orçamento Participativo
Rogério Correia;Gestão Democrática;Fortalecer os Conselhos Municipais
Rogério Correia;Gestão Democrática;Instituir o Conselho da Cidade, com a participação ampla de entidades representativas dos setores empresariais
Rogério Correia;Política Urbana e Habitação;Implementar políticas de habitação (mencionado, mas sem detalhes específicos)
Rogério Correia;Políticas de Saneamento;Implementar políticas de saneamento (mencionado, mas sem detalhes específicos)
Rogério Correia;Política para Mulheres;Implementar políticas para mulheres (mencionado, mas sem detalhes específicos)
Rogério Correia;Políticas de Igualdade Racial;Implementar políticas de igualdade racial (mencionado, mas sem detalhes específicos)
Rogério Correia;Segurança Pública Cidadã;Implementar políticas de segurança pública cidadã (mencionado, mas sem detalhes específicos)
Rogério Correia;Direitos dos Animais;Implementar políticas de direitos dos animais (mencionado, mas sem detalhes específicos)
Rogério Correia;Política de Juventude;Implementar políticas para a juventude (mencionado, mas sem detalhes específicos)
Rogério Correia;Educação;Implementar políticas para educação (mencionado, mas sem detalhes específicos)
Rogério Correia;Gestão;Retomar e aprofundar as dimensões republicanas, participativas e inovadoras da gestão da metrópole
